web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832611-1","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà hẻm Tôn Đản, vừa được sơn sửa lại","7 triệu/tháng","43 m²","Quận 4, Hồ Chí Minh","2","2"
"1716832611-2","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cần cho thuê nhà nguyên căn 1 trệt 1 lầu tại Phường Lái Thiêu, Thuận An, Bình Dương","3,2 triệu/tháng","50 m²","Thuận An, Bình Dương","",""
"1716832611-3","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà riêng 4 tầng ngõ 279 Giảng Võ (Cát Linh, Đống Đa, Hà Nội)","26 triệu/tháng","65 m²","Đống Đa, Hà Nội","4","5"
"1716832611-4","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cho thuê nhà 11B Yên Thế, Ba Đình, DT 100m2, 3 tầng, có sân vườn 60m2, LH 0912 571 ***","42 triệu/tháng","100 m²","Ba Đình, Hà Nội","",""
"1716832611-5","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cho thuê nhà Hoàn Kiếm, Hà Nội, DT 100m2, 3 tầng, có sân vườn 60m2, LH 0912 571 ***","42 triệu/tháng","100 m²","Hoàn Kiếm, Hà Nội","",""
"1716832611-6","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà nguyên căn 2 mặt hẻm 296A Bến Vân Đồn Q4 sát Q1","10 triệu/tháng","52 m²","Quận 4, Hồ Chí Minh","3","2"
"1716832611-7","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cho thuê nhà nguyên căn tại 162 phố Yên Hoa, cách mặt hồ 5m, chỉ việc xách vali vào ở","23 triệu/tháng","45 m²","Tây Hồ, Hà Nội","3","3"
"1716832611-8","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cần cho thuê nhà nguyên căn Nguyễn Cửu Vân, Bình Thạnh giá tốt","39 triệu/tháng","108 m²","Bình Thạnh, Hồ Chí Minh","",""
"1716832611-9","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cho thuê nhà 8 tầng, 3 mặt ngõ, mặt sàn 220m2, số 54 Hậu Dưỡng, Kim Chung, Đông Anh","Giá thỏa thuận","220 m²","Đông Anh, Hà Nội","",""
"1716832611-10","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cần cho thuê gấp nhà riêng 2 tầng + xưởng 170m2","50 nghìn/m²","300 m²","Mỹ Hào, Hưng Yên","5","2"
"1716832611-11","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Chính chủ cho thuê nhà nguyên căn HXH Phan Huy Ích","16 triệu/tháng","80 m²","Gò Vấp, Hồ Chí Minh","3","3"
"1716832611-12","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà mới 100%, 6x20m, phù hợp ở + văn phòng, nội thất đầy đủ, cao cấp","25 triệu/tháng","120 m²","Quận 2, Hồ Chí Minh","3","3"
"1716832611-13","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà nguyên căn giá rẻ dự án Bella Vista, Xã Đức Lập Hạ, Đức Hòa, Long An","4,5 triệu/tháng","90 m²","Đức Hòa, Long An","1","1"
"1716832611-14","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Thuê nhà nguyên căn 56/5 Lý Thái Tổ. Cách mặt tiền 20m. Tiện kinh doanh và ở gia đình","10,8 triệu/tháng","50 m²","Quận 3, Hồ Chí Minh","2","3"
"1716832611-15","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà riêng 44m2(chính chủ) ngay công viên, trường học, khu công nghiệp, rộng rãi thoáng mát","4 triệu/tháng","44 m²","Quận 12, Hồ Chí Minh","",""
"1716832611-16","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà ở hẻm 10m 86 Phổ Quang, P2, Tân Bình, 1 tầng, 100m2 SDN","20 triệu/tháng","100 m²","Tân Bình, Hồ Chí Minh","2","1"
"1716832611-17","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà nguyên căn KDC Long Hậu II","14 triệu/tháng","100 m²","Cần Giuộc, Long An","8","6"
"1716832611-18","https://batdongsan.com.vn/cho-thue-nha-rieng","171","https://batdongsan.com.vn/cho-thue-nha-rieng/p171","Cho thuê nhà 45m2 ô tô đậu cửa có thể kinh doanh hoặc ở","7 triệu/tháng","45 m²","Thanh Xuân, Hà Nội","2",""
"1716832615-19","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Chính chủ cho thuê nhà mặt đường tại số 2/181 phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân","23 triệu/tháng","46 m²","Thanh Xuân, Hà Nội","",""
"1716832615-20","https://batdongsan.com.vn/cho-thue-nha-rieng","5","https://batdongsan.com.vn/cho-thue-nha-rieng/p5","Chính chủ, cho thuê nhà 25m2, mặt tiền 4,6m, ngõ 5m thông sang 2 phố lớn: Vũ Trọng Phụng Quan Nhân","5,5 triệu/tháng","25 m²","Thanh Xuân, Hà Nội","","1"
